subject.id,institution,equipment,acclimation,diet,subject.mass,vo2,vco2,ee,rer,room.temp,total_mass,lean_mass,fat_mass,phase
V9,Vanderbilt,Sable,FALSE,HF,22.81419617,93.57364732,72.2055447,0.448633077,0.769831232,23.3,22.705,15.77965,2.624415,2
V9,Vanderbilt,Sable,TRUE,HF,22.62315138,84.48493261,64.27265454,0.404040675,0.760479657,23.3,22.705,15.77965,2.624415,2
Y1,Yale,Columbus,FALSE,HF,27.2,90.76783158,72.47702456,0.437875613,0.797690564,21.5,28.05,17.74055,6.05359,2
Y1,Yale,Columbus,TRUE,HF,27.2,92.31283499,75.22298776,0.447001507,0.814982866,21.5,28.05,17.74055,6.05359,2
Y10,Yale,Columbus,FALSE,LF,23,83.63849123,82.69912281,0.421084524,0.991384789,21.5,24.7,17.34595,3.1552,2
Y10,Yale,Columbus,TRUE,LF,23,87.77364912,85.35999415,0.440324105,0.97214287,21.5,24.7,17.34595,3.1552,2
Y11,Yale,Columbus,FALSE,HF,25.7,84.03809825,65.15085263,0.403250988,0.77596834,21.5,25.35,17.5494,3.717365,2
Y11,Yale,Columbus,TRUE,HF,25.7,84.77453099,67.19099678,0.408409669,0.792176393,21.5,25.35,17.5494,3.717365,2
Y12,Yale,Columbus,FALSE,LF,21,80.39352632,81.40152632,0.406860975,1.015172357,21.5,22.25,16.1087,1.87629,2
Y12,Yale,Columbus,TRUE,LF,21,80.07840351,76.3595,0.400042595,0.950722442,21.5,22.25,16.1087,1.87629,2
Y13,Yale,Columbus,FALSE,HF,23.9,93.88674737,72.47276667,0.450162551,0.772934636,21.5,23.75,16.6652,2.881475,2
Y13,Yale,Columbus,TRUE,HF,23.9,89.4144424,69.19301579,0.428909793,0.772250649,21.5,23.75,16.6652,2.881475,2
Y14,Yale,Columbus,FALSE,LF,22.4,99.556,99.8564,0.502791374,1.002650762,21.5,24.1,17.5198,2.441535,2
Y14,Yale,Columbus,TRUE,LF,22.4,97.28091429,93.10785306,0.486361369,0.956010417,21.5,24.1,17.5198,2.441535,2
Y15,Yale,Columbus,FALSE,HF,25.5,109.9523571,83.41414286,0.525578282,0.760153544,21.5,25.2,17.4518,3.24274,2
Y15,Yale,Columbus,TRUE,HF,25.5,105.1245306,81.86221137,0.504835381,0.778102292,21.5,25.2,17.4518,3.24274,2
Y16,Yale,Columbus,FALSE,LF,22.3,95.77372143,93.51584643,0.480872762,0.978382988,21.5,23.75,16.79885,2.652475,2
Y16,Yale,Columbus,TRUE,LF,22.3,97.57387755,93.56592391,0.488022563,0.956277431,21.5,23.75,16.79885,2.652475,2
Y2,Yale,Columbus,FALSE,LF,22.5,80.71618421,83.01907895,0.409921583,1.029839148,21.5,23.3,16.5941,2.48809,2
Y2,Yale,Columbus,TRUE,LF,22.5,81.06238338,79.65472303,0.407564977,0.98075775,21.5,23.3,16.5941,2.48809,2
Y3,Yale,Columbus,FALSE,HF,24,84.39621053,67.79621053,0.407588075,0.803910936,21.5,24.25,16.8864,2.93913,2
Y3,Yale,Columbus,TRUE,HF,24,84.33823907,68.42532945,0.408055415,0.811420055,21.5,24.25,16.8864,2.93913,2
