"","Ptt","RDate","Period","T2460","T2224","T2022","T1820","T1618","T1416","T1214","T1012","T810","T68","T46","T04","Species"
"606",93249,"5/13/10 23:00",23,52.9,17.1,10.4,16.2,3.5,0,0,0,0,0,0,0,"Melon-headed whale"
"607",93249,"5/13/10 5:00",5,46,13.3,14.6,20.7,5.4,0,0,0,0,0,0,0,"Melon-headed whale"
"608",93249,"5/14/10 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"609",93249,"5/14/10 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"610",93249,"5/14/10 23:00",23,43.6,15.2,14.6,23.3,3.3,0,0,0,0,0,0,0,"Melon-headed whale"
"611",93249,"5/14/10 5:00",5,44.4,17,15,20.1,3.5,0,0,0,0,0,0,0,"Melon-headed whale"
"612",93249,"5/15/10 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"613",93249,"5/15/10 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"614",93249,"5/15/10 23:00",23,54.6,19.9,13.7,11.3,0.5,0,0,0,0,0,0,0,"Melon-headed whale"
"615",93249,"5/15/10 5:00",5,47.6,15.7,16.4,20.3,0,0,0,0,0,0,0,0,"Melon-headed whale"
"616",93249,"5/16/10 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"617",93249,"5/16/10 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"618",93249,"5/16/10 23:00",23,45,16.8,12.7,19.6,5.9,0,0,0,0,0,0,0,"Melon-headed whale"
"619",93249,"5/16/10 5:00",5,44.3,19.9,16.6,18.3,0.9,0,0,0,0,0,0,0,"Melon-headed whale"
"620",93249,"5/17/10 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"621",93249,"5/17/10 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"622",93249,"5/17/10 23:00",23,60.3,13.1,9.4,12.5,4.7,0,0,0,0,0,0,0,"Melon-headed whale"
"623",93249,"5/17/10 5:00",5,49,16.9,15.2,17.3,1.6,0,0,0,0,0,0,0,"Melon-headed whale"
"624",102265,"6/8/11 17:00",17,19.7,3.1,3.8,3.8,4.5,4.5,5.1,9.8,33.4,12.3,0,0,"Sperm whale"
"625",102265,"6/8/11 23:00",23,30.7,3.2,3.5,4.2,5.3,4.3,7.5,20.8,20.6,0,0,0,"Sperm whale"
"626",102265,"6/9/11 11:00",11,63.9,2.2,2.2,2.8,3.1,2.8,6.1,5.8,11.1,0,0,0,"Sperm whale"
"627",102265,"6/9/11 17:00",17,84.1,2.6,4.8,0.4,0.7,0.4,0.4,1.1,5.5,0,0,0,"Sperm whale"
"628",102265,"6/9/11 23:00",23,90.7,1.9,3.3,2.6,1.5,0,0,0,0,0,0,0,"Sperm whale"
"629",102265,"6/9/11 5:00",5,31.8,3.3,4,4.9,5.8,5.4,6.5,19.6,18.6,0,0,0,"Sperm whale"
"630",102265,"6/10/11 11:00",11,55.9,1.8,2.1,2.3,2.5,2.3,2.8,11.1,19.2,0,0,0,"Sperm whale"
"631",102265,"6/10/11 17:00",17,31.2,3.1,3.3,3.6,4.5,4.3,4.7,18.1,27.3,0,0,0,"Sperm whale"
"632",102265,"6/10/11 23:00",23,56.6,2.1,2.3,2.8,3.5,3.2,3.2,12.9,12.9,0.5,0,0,"Sperm whale"
"633",102265,"6/10/11 5:00",5,45.8,2.8,3.3,3.3,3.7,3.1,8.1,21.4,8.3,0,0,0,"Sperm whale"
"634",102265,"6/11/11 11:00",11,42.3,2.4,2.8,3.5,4.1,3.3,3.9,15.5,18.5,3.9,0,0,"Sperm whale"
"635",102265,"6/11/11 17:00",17,27.5,3.2,3.5,3.9,4.4,4.6,4.9,9.8,31.9,6.4,0,0,"Sperm whale"
"636",102265,"6/11/11 23:00",23,63.1,2.2,4.2,2.8,1.7,2.5,3.3,8.1,9.4,2.8,0,0,"Sperm whale"
"637",102265,"6/11/11 5:00",5,53.6,2.1,2.3,2.8,3.2,2.8,3.5,8.3,20.6,0.9,0,0,"Sperm whale"
"638",102265,"6/12/11 11:00",11,22.1,2.9,3.2,3.6,3.9,3.9,3.9,5.1,28.9,22.5,0,0,"Sperm whale"
"639",102265,"6/12/11 17:00",17,21.2,3.5,3.7,4,4.6,4.3,4.9,8.6,29.5,15.7,0,0,"Sperm whale"
"640",102265,"6/12/11 23:00",23,69.2,1.7,1.7,2.2,3.1,5,5.8,8.9,2.5,0,0,0,"Sperm whale"
"641",102265,"6/12/11 5:00",5,45.6,2.2,2.4,2.8,3.5,3.3,3.5,8.1,26.8,1.8,0,0,"Sperm whale"
"642",102265,"6/13/11 11:00",11,25.4,2.9,3.5,4,4.6,4.3,5.7,9.4,24.4,12.4,3.3,0,"Sperm whale"
"643",102265,"6/13/11 17:00",17,25.7,3.2,3.8,4,4.6,4.3,4.3,8.3,29.6,12.2,0,0,"Sperm whale"
"644",102265,"6/13/11 23:00",23,54.3,2.6,2.6,3.2,4.4,5.3,12.3,11.6,1.9,1.9,0,0,"Sperm whale"
"645",102265,"6/13/11 5:00",5,53.9,2.1,2.1,2.8,3.5,3,4.4,8.6,19.2,0.5,0,0,"Sperm whale"
"646",102265,"6/14/11 11:00",11,25.6,2.6,2.9,3.9,4.9,4.2,5.6,10.3,30.9,9.2,0,0,"Sperm whale"
"647",102265,"6/14/11 17:00",17,27.5,2.9,3.6,4.7,5,4.2,4.4,11.9,30.3,5.4,0,0,"Sperm whale"
"648",102265,"6/14/11 23:00",23,66.8,1.4,1.4,1.9,2.5,2.2,3.3,13.3,7.2,0,0,0,"Sperm whale"
"649",102265,"6/14/11 5:00",5,35.4,3.1,3.5,4.6,5,4.3,10.3,23.3,8.9,1.7,0,0,"Sperm whale"
"650",102265,"6/15/11 11:00",11,41.9,2,2.4,2.6,3.3,3,3.1,6.1,29.3,5.2,1.1,0,"Sperm whale"
"651",102265,"6/15/11 17:00",17,67.2,1.1,1.7,1.9,1.9,1.9,4.2,17.2,2.8,0,0,0,"Sperm whale"
"652",102265,"6/15/11 23:00",23,42.7,2.2,2.6,2.9,3.5,3.5,6.3,16.6,13.4,6.3,0,0,"Sperm whale"
"653",102265,"6/15/11 5:00",5,21.7,3.2,4,5,5.4,4.6,6.9,20.9,19.4,8.5,0.3,0,"Sperm whale"
"654",102265,"6/16/11 17:00",17,35.4,7.5,8.2,3.6,4.4,2.6,3.1,5,7.6,22.5,0,0,"Sperm whale"
"655",102265,"6/16/11 23:00",23,73.6,1.3,2.3,4.2,1.3,1.9,1.9,6.8,6.8,0,0,0,"Sperm whale"
"656",102265,"6/16/11 5:00",5,43.1,2.2,2.8,2.6,3.1,2.9,3.5,21.5,17.5,0.7,0,0,"Sperm whale"
"657",108420,"6/8/11 17:00",17,21.4,4.2,4.5,4.3,5.2,5.8,8.7,12.6,26.6,6.7,0,0,"Sperm whale"
"658",108420,"6/8/11 23:00",23,8.9,5.6,5.6,5.2,6.6,7.3,16.7,17,27.2,0,0,0,"Sperm whale"
"659",108420,"6/9/11 11:00",11,56,4.6,6.3,2.5,2.8,2.5,2.3,4.6,14.1,4.2,0,0,"Sperm whale"
"660",108420,"6/9/11 17:00",17,0,17,24.5,3.8,3.8,3.8,3.8,5.7,37.7,0,0,0,"Sperm whale"
"661",108420,"6/9/11 5:00",5,25.1,4.7,4.6,4.7,5.3,6.1,7.1,14.8,21.5,6.1,0,0,"Sperm whale"
"662",108420,"6/10/11 11:00",11,52.4,3.2,3.5,3,3,3.2,3.7,9.9,18,0,0,0,"Sperm whale"
"663",108420,"6/10/11 17:00",17,34.3,3.6,3.9,3.5,4,4.7,6.1,16.7,23.2,0,0,0,"Sperm whale"
"664",108420,"6/10/11 23:00",23,89.3,0.7,0.7,0.7,0.7,0.7,0.7,1.1,3.7,1.5,0,0,"Sperm whale"
"665",108420,"6/10/11 5:00",5,50.3,2.8,2.8,3.5,3.5,3.2,3.5,4.8,22.9,2.8,0,0,"Sperm whale"
"666",108420,"6/11/11 11:00",11,39.5,3.7,3.7,3.5,3.9,4.4,5.5,23.4,12.4,0,0,0,"Sperm whale"
"667",108420,"6/11/11 17:00",17,45.6,2.8,3,2.8,3.1,3.5,4.4,20.4,13.5,0.9,0,0,"Sperm whale"
"668",108420,"6/11/11 23:00",23,59.7,3.6,5.2,3,2.2,3.6,5.5,10.8,6.4,0,0,0,"Sperm whale"
"669",108420,"6/11/11 5:00",5,58,2.8,2.8,2.8,3,3.2,6.7,6.7,11.1,3,0,0,"Sperm whale"
"670",108420,"6/12/11 17:00",17,38.5,3,3.1,3,3.5,4.1,4.4,13.9,17.6,8.9,0,0,"Sperm whale"
"671",108420,"6/12/11 5:00",5,59.4,2.2,1.9,2.2,2.8,3.3,2.5,4.7,20.2,0.8,0,0,"Sperm whale"
"672",108420,"6/13/11 11:00",11,69.8,1.9,1.9,1.9,2.2,2.5,3.6,11.1,5,0,0,0,"Sperm whale"
"673",108420,"6/13/11 17:00",17,46.2,2.6,3,3,3.1,3.5,4.1,7.2,24.8,2.6,0,0,"Sperm whale"
"674",108420,"6/14/11 5:00",5,43.9,4.2,4.2,4.6,4.4,4.4,4.4,14.8,12.9,2,0,0,"Sperm whale"
"675",108420,"6/15/11 11:00",11,0,4.9,7.4,5.3,4.9,5.3,6,10.6,34.2,21.5,0,0,"Sperm whale"
"676",108421,"5/1/13 14:00",14,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"677",108421,"5/1/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"678",108421,"5/1/13 23:00",23,99.2,0.8,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"679",108421,"5/10/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
