"","Ptt","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Species"
"5833",108419,NA,"6/21/11 0:00","3:22:30","2",25.90200043,-77.26998901,756,126.5,"Blainville's beaked whale"
"5834",108419,NA,"6/21/11 0:00","3:25:00","2",25.90200043,-77.26998901,756,126.5,"Blainville's beaked whale"
"5835",108419,NA,"6/21/11 0:00","3:27:30","2",25.90200043,-77.26998901,756,126.5,"Blainville's beaked whale"
"5836",108419,NA,"6/21/11 0:00","3:30:00","2",25.90200043,-77.26998901,629,126,"Blainville's beaked whale"
"5837",108419,NA,"6/21/11 0:00","3:32:30","2",25.90200043,-77.26998901,425,78.5,"Blainville's beaked whale"
"5838",108419,NA,"6/21/11 0:00","3:35:00","2",25.90200043,-77.26998901,228,55,"Blainville's beaked whale"
"5839",108419,NA,"6/21/11 0:00","3:37:30","2",25.90200043,-77.26998901,19,4,"Blainville's beaked whale"
"5840",108419,NA,"6/21/11 0:00","3:40:00","2",25.90200043,-77.26998901,19,4,"Blainville's beaked whale"
"5841",108419,NA,"6/21/11 0:00","3:42:30","2",25.90200043,-77.26998901,83,27.5,"Blainville's beaked whale"
"5842",108419,NA,"6/21/11 0:00","3:45:00","2",25.90200043,-77.26998901,39,16,"Blainville's beaked whale"
"5843",108419,NA,"6/21/11 0:00","3:47:30","2",25.90200043,-77.26998901,142,31.5,"Blainville's beaked whale"
"5844",108419,NA,"6/21/11 0:00","3:50:00","2",25.90200043,-77.26998901,142,31.5,"Blainville's beaked whale"
"5845",108419,NA,"6/21/11 0:00","3:52:30","2",25.90200043,-77.26998901,19,4,"Blainville's beaked whale"
"5846",108419,NA,"6/21/11 0:00","3:55:00","2",25.90200043,-77.26998901,39,16,"Blainville's beaked whale"
"5847",108419,NA,"6/21/11 0:00","3:57:30","2",25.90200043,-77.26998901,39,16,"Blainville's beaked whale"
"5848",108419,NA,"6/21/11 0:00","6:00:00","2",25.90200043,-77.26998901,35,15.5,"Blainville's beaked whale"
"5849",108419,NA,"6/21/11 0:00","6:02:30","2",25.90200043,-77.26998901,35,15.5,"Blainville's beaked whale"
"5850",108419,NA,"6/21/11 0:00","6:05:00","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
"5851",108419,NA,"6/21/11 0:00","6:07:30","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
"5852",108419,NA,"6/21/11 0:00","6:10:00","2",25.90200043,-77.26998901,25,5.5,"Blainville's beaked whale"
