Fish_ID,Schisto_exposure,Schisto_pop,Schisto_fam,Cage,Died_in_cage,Schisto_infection,Plerocercoid_weight_mg,Treatment,Date_Schisto_exposure,Date_in_lake,Date_dissected,Age_at_dissection,Fish_sex,Initial_total_length_mm,Initial_std_length_mm,Initial_weight_g,Final_total_length_mm,Final_std_length_mm,Final_weight_g,Final_weight_no_Schisto,HK_weight_mg,Spleen_weight_mg,Liver_weight_mg,Gonad_weight_mg,Irregular_Apatemon_Cysts,Tr,Af,Er,Gy,Gl,Ac,Cp,Dg,Dp,Ec,Ph,Sg,Tc,Ju,An,Cl,Co,Ra,Ps,Pf,Vc
59,1,HG,HG-B,2,1,,,,13.05.09,20.05.09,,,,43,38,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,HG,HG-B,2,0,1,298.3,Infected HG,13.05.09,20.05.09,10.08.09,89,M,44,39,0.6889,53,47,1.6348,1.3365,7,2.2,9.9,7.4,,0,0,0,0,0,49,5,0,1,5,0,0,0,0,0,1,1,0,0,4,0
61,0,,,2,1,,,,12.05.09,20.05.09,,,,47,41,0.8736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,,,2,1,,,,12.05.09,20.05.09,,,,47,42,0.9853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,,,2,0,0,,Control,12.05.09,20.05.09,10.08.09,90,M,42,38,0.6385,49,43,0.9815,0.9815,3.3,2.1,19.9,7.6,,1,0,0,0,0,47,4,1,2,0,0,3,0,0,0,0,0,0,0,0,0
64,0,,,2,1,,,,12.05.09,20.05.09,,,,44,39,0.8175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,,,2,1,,,,12.05.09,20.05.09,,,,43,38,0.7214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,LG,LG-B,2,1,,,,13.05.09,20.05.09,,,,49,43,1.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,LG,LG-B,2,0,0,,Uninfected,13.05.09,20.05.09,10.08.09,89,M,46,41,0.8148,51,45,1.0215,1.0215,2,1,8.8,3.5,,1,0,0,0,0,101,2,1,0,1,0,3,0,3,0,0,0,0,0,4,0
68,1,LG,LG-B,2,0,1,205.7,Infected LG,13.05.09,20.05.09,10.08.09,89,M,46,41,0.8807,52,46,1.2582,1.0525,2.1,1.6,13.3,5.8,,1,0,0,0,0,76,1,0,0,1,0,0,0,2,0,1,0,0,0,2,0
69,1,LG,LG-B,2,1,,,,13.05.09,20.05.09,,,,49,43,1.1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,LG,LG-B,2,0,1,207.3,Infected LG,13.05.09,20.05.09,10.08.09,89,F,47,42,0.9173,56,49,1.4367,1.2294,2.5,1.7,17.7,31.8,,0,1,0,0,0,72,2,1,4,7,0,0,0,1,0,0,0,0,0,1,0
71,1,HG,HG-A,2,1,,,,12.05.09,20.05.09,,,,43,38,0.6586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,HG,HG-A,2,0,0,,Uninfected,12.05.09,20.05.09,10.08.09,90,F,44,39,0.7619,50,45,0.9772,0.9772,2.6,1.2,20.7,39,,0,0,0,0,0,68,3,0,2,1,0,0,0,3,0,0,0,0,0,1,0
73,1,HG,HG-A,2,1,,,,12.05.09,20.05.09,,,,46,40,0.8212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,HG,HG-A,2,1,,,,12.05.09,20.05.09,,,,43,38,0.7255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,HG,HG-A,2,1,,,,12.05.09,20.05.09,,,,43,38,0.6313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,LG,LG-A,2,0,0,,Uninfected,12.05.09,20.05.09,10.08.09,90,F,46,40,0.7525,52,45,0.9245,0.9245,1.4,0.9,15.5,54.4,,0,0,0,0,0,57,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
77,1,LG,LG-A,2,1,1,,,12.05.09,20.05.09,10.08.09,90,,45,40,0.7892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,LG,LG-A,2,1,,,,12.05.09,20.05.09,,,,41,36,0.6002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,LG,LG-A,2,1,0,,,12.05.09,20.05.09,10.08.09,90,,44,39,0.7329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,LG,LG-A,2,1,,,,12.05.09,20.05.09,,,,44,38,0.7785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,HG,HG-B,2,1,,,,13.05.09,20.05.09,,,,46,40,0.8954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,HG,HG-B,2,1,,,,13.05.09,20.05.09,,,,46,41,0.9216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,HG,HG-B,2,1,,,,13.05.09,20.05.09,,,,50,43,1.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,HG,HG-B,2,1,0,,,13.05.09,20.05.09,10.08.09,89,,44,39,0.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,HG,HG-B,2,0,1,292.3,Infected HG,13.05.09,20.05.09,10.08.09,89,F,44,39,0.8358,50,44,1.3105,1.0182,3.4,1.4,26.1,29.8,,0,0,0,0,0,52,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
86,0,,,2,1,,,,13.05.09,20.05.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,,,2,1,0,,,13.05.09,20.05.09,10.08.09,89,,45,40,0.8356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,,,2,1,,,,13.05.09,20.05.09,,,,45,40,0.9536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,,,2,1,,,,13.05.09,20.05.09,,,,47,41,0.9167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,,,2,1,0,,,13.05.09,20.05.09,10.08.09,89,,50,43,1.0146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,LG,LG-B,2,1,,,,13.05.09,20.05.09,,,,45,39,0.8237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,LG,LG-B,2,1,,,,13.05.09,20.05.09,,,,43,38,0.8233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,LG,LG-B,2,1,,,,13.05.09,20.05.09,,,,50,44,1.0884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,LG,LG-B,2,0,0,,Uninfected,13.05.09,20.05.09,10.08.09,89,F,44,39,0.8158,52,45,1.0018,1.0018,1.5,1.2,11.6,10.9,,1,1,0,0,0,73,3,1,4,3,0,0,0,20,0,0,0,0,0,0,0
95,1,LG,LG-B,2,1,,,,13.05.09,20.05.09,,,,54,48,1.3806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,HG,HG-A,2,1,,,,12.05.09,20.05.09,,,,51,45,1.2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,HG,HG-A,2,0,1,315.5,Infected HG,12.05.09,20.05.09,10.08.09,90,F,44,39,0.7645,52,46,1.2692,0.9537,1.4,1.8,22.4,30.6,,1,0,0,0,0,43,9,3,2,4,0,0,0,5,0,1,0,1,0,2,1
98,1,HG,HG-A,2,1,,,,12.05.09,20.05.09,,,,48,43,0.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,HG,HG-A,2,1,,,,12.05.09,20.05.09,,,,49,43,0.9539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,HG,HG-A,2,1,1,304.1,,12.05.09,20.05.09,10.08.09,90,,44,39,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,LG,LG-A,3,0,1,253.7,Infected LG,12.05.09,20.05.09,11.08.09,91,F,49,43,0.9306,59,53,1.7197,1.466,4.9,5.4,32.2,20.6,,1,0,0,9,0,48,0,1,2,4,0,0,0,2,0,0,0,0,0,8,0
102,1,LG,LG-A,3,0,0,,Uninfected,12.05.09,20.05.09,11.08.09,91,M,42,37,0.5769,52,45,1.119,1.119,2.2,2.9,34.8,10.6,,0,1,0,1,0,51,3,1,1,3,0,0,0,4,0,1,0,1,0,8,0
103,1,LG,LG-A,3,0,1,185.5,Infected LG,12.05.09,20.05.09,11.08.09,91,F,47,41,0.862,57,50,1.4836,1.2981,2.9,2.5,29.7,23.9,,2,0,0,2,0,54,4,0,1,4,0,0,0,0,0,0,0,0,0,4,0
104,1,LG,LG-A,3,1,,,,12.05.09,20.05.09,,,,45,40,0.7471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,LG,LG-A,3,0,1,111,Infected LG,12.05.09,20.05.09,11.08.09,91,M,41,37,0.5952,48,42,0.8996,0.7886,1.7,1.3,15.6,5.8,,0,1,0,13,0,61,3,1,1,3,0,0,0,3,0,0,0,0,0,1,0
106,1,HG,HG-B,3,0,0,,Uninfected,13.05.09,20.05.09,11.08.09,90,F,46,40,0.829,55,48,1.1748,1.1748,3.9,3.4,32.9,34.5,,0,0,0,1,0,43,5,0,2,8,0,0,0,5,0,2,1,0,0,8,0
107,1,HG,HG-B,3,1,,,,13.05.09,20.05.09,,,,46,40,0.7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,HG,HG-B,3,1,,,,13.05.09,20.05.09,,,,42,37,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,HG,HG-B,3,0,0,,Uninfected,13.05.09,20.05.09,11.08.09,90,M,40,35,0.5467,50,45,1.4936,1.4936,6.4,4.5,37.5,11.7,,1,2,0,0,0,39,13,0,2,5,0,0,0,6,0,1,0,0,0,5,0
110,1,HG,HG-B,3,1,,,,13.05.09,20.05.09,,,,40,35,0.5238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,,,3,0,0,,Control,12.05.09,20.05.09,11.08.09,91,F,48,43,0.8915,57,50,1.2711,1.2711,2.8,2.4,29.6,55.8,,0,0,0,0,0,49,4,0,1,3,0,0,0,7,0,2,0,0,0,0,0
112,0,,,3,0,0,,Control,12.05.09,20.05.09,11.08.09,91,F,40,36,0.5819,50,44,0.9552,0.9552,1.9,2.1,25.3,8.6,,3,0,0,1,0,61,0,0,3,2,0,0,0,1,0,0,0,0,0,5,0
113,0,,,3,0,0,,Control,12.05.09,20.05.09,11.08.09,91,F,42,37,0.5161,53,46,0.9625,0.9625,3.1,3.2,30.3,25,,0,0,0,0,0,59,8,0,3,5,0,1,0,0,0,0,0,0,0,1,0
114,0,,,3,0,0,,Control,12.05.09,20.05.09,11.08.09,91,M,40,35,0.5318,48,42,0.979,0.979,3.4,2.9,17.6,7.9,,0,0,0,9,0,63,6,0,2,1,0,0,0,10,0,1,1,0,0,6,0
115,0,,,3,0,0,,Control,12.05.09,20.05.09,11.08.09,91,M,40,35,0.4914,48,42,0.8198,0.8198,1.3,2.4,15,3.8,,0,0,0,7,0,59,3,0,0,0,0,0,0,7,0,1,0,0,0,4,0
116,1,LG,LG-B,3,1,,,,13.05.09,20.05.09,,,,43,38,0.6418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,LG,LG-B,3,0,0,,Uninfected,13.05.09,20.05.09,11.08.09,90,M,46,41,0.862,53,46,1.1778,1.1778,2.7,3,15.9,9.8,,1,1,0,16,0,60,8,1,2,3,0,0,0,12,0,0,0,0,0,6,0
118,1,LG,LG-B,3,1,,,,13.05.09,20.05.09,,,,44,40,0.7256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,LG,LG-B,3,0,1,256,Infected LG,13.05.09,20.05.09,11.08.09,90,F,45,40,0.7392,58,51,1.8417,1.5857,5.6,5.4,41.9,27.4,,0,0,0,0,0,50,2,0,1,1,0,0,1,2,0,2,0,0,0,9,0
120,1,LG,LG-B,3,0,1,275.8,Infected LG,13.05.09,20.05.09,11.08.09,90,F,45,40,0.8514,56,49,1.6553,1.3795,5,2.4,37.3,28.6,,1,0,0,1,0,62,12,0,1,4,0,0,0,0,0,0,0,0,0,12,0
121,1,HG,HG-A,3,1,,,,12.05.09,20.05.09,,,,44,39,0.7008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,HG,HG-A,3,0,0,,Uninfected,12.05.09,20.05.09,11.08.09,91,F,43,38,0.6459,55,48,1.3675,1.3675,5.9,4.7,56.6,37.1,,0,0,0,8,0,43,2,0,0,6,1,0,0,1,0,1,0,1,0,8,1
123,1,HG,HG-A,3,1,,,,12.05.09,20.05.09,,,,44,39,0.7155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,HG,HG-A,3,0,1,235.6,Infected HG,12.05.09,20.05.09,11.08.09,91,F,41,36,0.5564,49,43,0.9959,0.7603,2.5,1.8,16.3,13.9,,2,1,0,0,0,39,7,1,4,4,0,0,0,2,0,1,0,1,0,4,0
