chick_id	brood_id	brood_composition	sex	rank_in_nest	playback_treatment	nest_temperature_above_ambient	max_daily_temp_hatch_day	mean_max_temp_hatch_to_day2	mean_max_temp_hatch_to_day10	mean_max_temp_hatch_to_day13	hatching_mass	day1_mass	day2_mass	day10_mass	day13_mass	day13_tarsus
68	N3.3noCut3	N3.3m3	mixed	F	1	cont	3.526666667	24.6	23.76666667	22.71	22.7	0.7	0.69999999999999996	0.90000000000000002	NA	6.6	11.81
69	N3.3RB3	N3.3m3	mixed	M	2	cont	3.526666667	24.6	23.76666667	22.71	22.7	0.6	0.69999999999999996	0.69999999999999996	NA	6.2	10.41
70	N3.4LB2	N3.4m2	same	M	3	treat	5.51	26.9	26.63333333	23.72	23.88571429	0.7	0.90000000000000002	1.2	NA	8.5	12.64
71	N3.4LF2	N3.4m2	same	M	1	treat	5.51	22	23.9	25.18	23.91428571	0.8	1.2	1.5	NA	9.9	13.82
72	N3.4RB2	N3.4m2	same	M	2	treat	5.51	24.7	25.2	24.97	23.99285714	0.6	0.90000000000000002	NA	NA	8.7	13.66
73	N3.5LF2	N3.5m2	same	F	2	cont	4.76	24.9	21.7	22.56	23.27857143	0.7	1	NA	10.300000000000001	10.2	14
74	N3.5RB2	N3.5m2	same	M	1	cont	4.76	23.3	24.76666667	23.39	22.76428571	0.7	0.90000000000000002	NA	NA	10.8	14.8
75	N3.5RF2	N3.5m2	same	F	2	cont	4.76	24.9	21.7	22.56	23.27857143	0.6	0.80000000000000004	NA	8.9000000000000004	9.5	14.55
76	N3.6LB3	N3.6m3	mixed	F	3	treat	4.11	24.6	23.76666667	22.71	22.7	0.6	0.5	0.90000000000000002	NA	8.5	13.86
77	N3.6noCuta3	N3.6m3	mixed	M	4	cont	4.11	21.3	24.23333333	22.15	23.95714286	0.7	0.80000000000000004	1.2	7.9000000000000004	8.8	13.81
78	N3.6RB3	N3.6m3	mixed	M	2	cont	4.11	24.6	23.76666667	22.71	22.7	0.6	0.59999999999999998	0.80000000000000004	NA	6.6	12.62
79	N3.8LB3	N3.8m3	same	F	1	cont	4.251666667	21.2	20.76666667	22.38	24.76428571	0.7	0.80000000000000004	NA	NA	10.7	13.79
80	N3.8RB3	N3.8m3	same	F	2	cont	4.251666667	20.5	21.4	23.87	24.78571429	0.7	0.80000000000000004	1.1000000000000001	8.6999999999999993	9.6	13.51
81	N3.9LF2	N3.9m2	mixed	M	3	treat	3.643333333	20.3	21.03333333	22.45	22.83571429	0.6	0.90000000000000002	1.3999999999999999	NA	10.4	14.21
82	N3.9noCut2	N3.9m2	mixed	F	4	treat	3.643333333	21	21.96666667	22.7	23	0.8	1	NA	NA	9.1	14.07
83	N3.9RB2	N3.9m2	mixed	M	2	treat	3.643333333	19.9	20.4	22.28	22.84285714	0.7	0.69999999999999996	1.3	NA	9.3	13.47
84	N3.9RF2	N3.9m2	mixed	F	1	cont	3.643333333	29.3	25.43333333	23.34	23.42857143	0.5	0.5	NA	NA	6.7	11.38
85	N4.2LB2	N4.2m2	same	M	2	treat	3.645416667	23.7	24.36666667	23.64	22.91428571	0.7	0.90000000000000002	NA	8.6999999999999993	10.5	13.72
86	N4.2RB2	N4.2m2	same	M	1	treat	3.645416667	26.9	26.63333333	23.72	23.88571429	0.6	0.90000000000000002	NA	NA	9.6	13.45
87	N4.3LB2	N4.3m2	same	F	2	treat	3.270416667	25.9	27.36666667	24.13	24.26428571	0.7	0.90000000000000002	1.1000000000000001	NA	9.5	13.72
88	N4.3LF2	N4.3m2	same	F	3	treat	3.270416667	26.9	26.63333333	23.72	23.88571429	0.7	0.69999999999999996	1.1000000000000001	NA	10.4	13.44
89	N4.3RB2	N4.3m2	same	F	4	treat	3.270416667	29.3	25.43333333	23.34	23.42857143	0.6	0.90000000000000002	NA	8.9000000000000004	10.1	13.46
90	N4.4LB3	N4.4m3	same	F	3	cont	4.770416667	23.9	29.63333333	26.4	25.86428571	0.7	0.90000000000000002	NA	NA	9	12.87
91	N4.4LF3	N4.4m3	same	F	1	cont	4.770416667	33.8	24.13333333	26	25.64285714	0.7	0.69999999999999996	NA	NA	9.8	13.79
92	N4.4RF3	N4.4m3	same	F	2	cont	4.770416667	22.6	26.43333333	26.2	25.97857143	0.7	0.80000000000000004	1.1000000000000001	8.8000000000000007	10.8	13.47
93	N4.6LF2	N4.6m2	same	F	2	cont	4.20375	19.9	20.4	22.28	22.84285714	0.7	0.80000000000000004	NA	NA	8.7	12.65
94	N4.6RB2	N4.6m2	same	M	1	cont	4.20375	26.1	23.63333333	23.12	22.72857143	0.7	0.80000000000000004	NA	NA	11.7	14.56
95	N5.1LB2	N5.1m2	same	F	3	cont	4.224583333	22	23.9	25.18	23.91428571	0.6	NA	1.2	NA	9.6	13.98
